country,crop,year,yield_hg_ha,average_rain_fall_mm_per_year,pesticide_tonnes,avg_temp
albania,maize,1990,36613,1485.0,121.0,16.37
albania,maize,1991,29068,1485.0,121.0,15.36
albania,maize,1992,24876,1485.0,121.0,16.06
albania,maize,1993,24185,1485.0,121.0,16.05
albania,maize,1994,25848,1485.0,201.0,16.96
albania,maize,1995,31300,1485.0,251.0,15.67
albania,maize,1996,32604,1485.0,313.96,15.64
albania,maize,1997,31862,1485.0,376.93,15.9
albania,maize,1998,33416,1485.0,439.89,16.27
albania,maize,1999,37455,1485.0,502.86,16.57
albania,maize,2000,38811,1485.0,565.82,16.67
albania,maize,2001,38135,1485.0,628.79,16.59
albania,maize,2002,39460,1485.0,691.75,16.47
albania,maize,2003,42805,1485.0,754.71,16.69
albania,maize,2004,46197,1485.0,817.68,16.16
albania,maize,2005,45442,1485.0,880.64,15.67
albania,maize,2006,50111,1485.0,943.61,15.92
albania,maize,2007,46732,1485.0,1006.57,16.67
albania,maize,2008,50000,1485.0,1069.54,16.71
albania,maize,2009,55693,1485.0,1132.5,16.73
albania,maize,2010,66790,1485.0,1311.17,16.52
albania,maize,2011,59869,1485.0,1302.63,16.45
albania,maize,2012,67290,1485.0,766.25,16.7
albania,maize,2013,69533,1485.0,982.32,17.41
albania,maize,2014,69091,1485.0,1365.34,16.3152427184466
albania,maize,2015,69597,1485.0,1300.84,16.3152427184466
albania,maize,2016,64877,1485.0,1419.44,16.3152427184466
albania,potatoes,1990,66667,1485.0,121.0,16.37
albania,potatoes,1991,77818,1485.0,121.0,15.36
albania,potatoes,1992,82920,1485.0,121.0,16.06
albania,potatoes,1993,98446,1485.0,121.0,16.05
albania,potatoes,1994,81404,1485.0,201.0,16.96
albania,potatoes,1995,111323,1485.0,251.0,15.67
albania,potatoes,1996,106138,1485.0,313.96,15.64
albania,potatoes,1997,109874,1485.0,376.93,15.9
albania,potatoes,1998,127212,1485.0,439.89,16.27
albania,potatoes,1999,142018,1485.0,502.86,16.57
albania,potatoes,2000,141228,1485.0,565.82,16.67
albania,potatoes,2001,148818,1485.0,628.79,16.59
albania,potatoes,2002,153868,1485.0,691.75,16.47
albania,potatoes,2003,151301,1485.0,754.71,16.69
albania,potatoes,2004,149346,1485.0,817.68,16.16
albania,potatoes,2005,167061,1485.0,880.64,15.67
albania,potatoes,2006,170745,1485.0,943.61,15.92
albania,potatoes,2007,188902,1485.0,1006.57,16.67
albania,potatoes,2008,193878,1485.0,1069.54,16.71
albania,potatoes,2009,219780,1485.0,1132.5,16.73
albania,potatoes,2010,231111,1485.0,1311.17,16.52
albania,potatoes,2011,242211,1485.0,1302.63,16.45
albania,potatoes,2012,250538,1485.0,766.25,16.7
albania,potatoes,2013,260110,1485.0,982.32,17.41
albania,potatoes,2014,250000,1485.0,1365.34,16.3152427184466
albania,potatoes,2015,242574,1485.0,1300.84,16.3152427184466
albania,potatoes,2016,245894,1485.0,1419.44,16.3152427184466
albania,"rice, paddy",1990,23333,1485.0,121.0,16.37
albania,"rice, paddy",1991,28538,1485.0,121.0,15.36
albania,"rice, paddy",1992,40000,1485.0,121.0,16.06
albania,"rice, paddy",1993,41786,1485.0,121.0,16.05
albania,sorghum,1990,12500,1485.0,121.0,16.37
albania,sorghum,1991,6667,1485.0,121.0,15.36
albania,sorghum,1992,3747,1485.0,121.0,16.06
albania,soybeans,1990,7000,1485.0,121.0,16.37
albania,soybeans,1991,6066,1485.0,121.0,15.36
albania,soybeans,1992,4507,1485.0,121.0,16.06
